esperanto,kanji,priority,source_root,source_line
kalamagrostid,草ᴷᴬᴸᴬᴹᴬ,0,kalamagrostid,2413
difeomorfi,微分同胚ᴰᴵ,0,difeomorfi,7201
kalamint,草ᴷᴬᴸᴬᴹ,0,kalamint,2297
poligonat,草ᴾᴼᴸᴵᴳ,0,poligonat,2372
ĥameleon,变色龙ᴴ̂,0,h^ameleon,7004
paroĥ,堂区ᴾᴴ̂,0,paroh^,5727
gvajak,愈疮木ᴳⱽ,0,gvajak,7046
anakardi,木ᴬᴺᴬᴷ,0,anakardi,531
kaskaril,木ᴷᴬˢᴷ,0,kaskaril,543
kalam,木ᴷᴬᴸᴬ,0,kalam,562
kameciparis,木ᴷᴬᴹᴱ,0,kameciparis,586
klerodendr,木ᴷᴸᴱᴿ,0,klerodendr,582
komifor,木ᴷᴼᴹᴵ,0,komifor,513
traĥe,气管ᵀᴴ̂,0,trah^e,5913
eĥin,海胆ᴱᴴ̂,0,eh^in,6312
neŭr,神经ᴺᵁ̆,0,neŭr,4288
sangvisorb,草ˢᴬᴺᴳ,0,sangvisorb,2399
sklerant,草ˢᴷᴸᴱ,0,sklerant,2331
skolopendri,草ˢᴷᴼᴸ,0,skolopendri,2410
stratiot,草ˢᵀᴿᴬ,0,stratiot,2335
strelici,草ˢᵀᴿᴱ,0,strelici,2336
aliari,草ᴬᴸᴵᴬ,0,aliari,2104
alopekur,草ᴬᴸᴼᴾ,0,alopekur,2263
antenari,草ᴬᴺᵀᴱ,0,antenari,2265
antilid,草ᴬᴺᵀᴵ,0,antilid,2187
antoksant,草ᴬᴺᵀᴼ,0,antoksant,2343
antrisk,草ᴬᴺᵀᴿ,0,antrisk,2188
arabidops,草ᴬᴿᴬᴮ,0,arabidops,2344
armoraci,草ᴬᴿᴹᴼ,0,armoraci,2266
hidrokotil,草ᴴᴵᴰᴿ,0,hidrokotil,2391
ksantosom,草ᴷˢᴬᴺ,0,ksantosom,2360
kalate,草ᴷᴬᴸᴬ,0,kalate,2137
kalitrik,草ᴷᴬᴸᴵ,0,kalitrik,2298
kamemor,草ᴷᴬᴹᴱ,0,kamemor,2222
kardamom,草ᴷᴬᴿᴰ,0,kardamom,2300
katarant,草ᴷᴬᵀᴬ,0,katarant,2301
kaŭkalid,草ᴷᴬᵁ̆,0,kau^kalid,2302
koraloriz,草ᴷᴼᴿᴬ,0,koraloriz,2358
koronil,草ᴷᴼᴿᴼ,0,koronil,2227
krotalari,草ᴷᴿᴼᵀ,0,krotalari,2359
parietari,草ᴾᴬᴿᴵ,0,parietari,2366
partenocis,草ᴾᴬᴿᵀ,0,partenocis,2397
polemoni,草ᴾᴼᴸᴱ,0,polemoni,2317
polistik,草ᴾᴼᴸᴵ,0,polistik,2318
potentil,草ᴾᴼᵀᴱ,0,potentil,2320
pulmonari,草ᴾᵁᴸᴹ,0,pulmonari,2375
trigon,三角ᵀᴿ,0,trigon,6554
pontifik,主祭ᴾᴺ,0,pontifik,6434
homoteti,位似ᴴᴵ,0,homoteti,7026
vaĉ,值ⱽᶜ̂,0,vac^,227
okt,八度ᴼᴷ,0,okt,6417
ankiloz,关节强直,0,ankiloz,7009
ĥemi,化学ᴴ̂,0,ĥemi,3823
duoden,十二指肠,0,duoden,6461
sonet,十四行诗,0,sonet,6990
sinergi,协同作用,0,sinergi,7029
refleks,反射ᴿˢ,0,refleks,5297
arĥe,古ᴬᴴ̂,0,arh^e,4153
epik,史诗ᴱᴷ,0,epik,6854
homotopi,同伦ᴴᴵ,0,homotopi,7248
monarki,君主ᴹᴵ,0,monarki,6254
ĥirurg,外科ᴴ̂,0,h^irurg,5110
kirurgi,外科ᴷᴵ,0,kirurgi,5109
maĵor,大ᴹᴶ̂,0,maj^or,749
kaĵol,媚ᴷᴶ̂,0,kaj^ol,5115
deĉifr,密ᴰᶜ̂,0,dec^ifr,2768
treponem,密螺旋体,0,treponem,6608
pekan,山核桃ᴾ,0,pekan,6832
ĉap,帽ᶜ̂ᴬ,0,ĉap,1801
arkitektur,建筑ᴬᴿ,0,arkitektur,6134
difeomorf,微分同胚,0,difeomorf,7200
psikiatri,心医ᴾᴵ,0,psikiatri,6623
teĥnik,技ᵀᴴ̂,0,teĥnik,4028
datum,数据ᴰᴹ,0,datum,5496
proletari,无产ᴾᴿ,0,proletari,5284
anarki,无政ᴬᴵ,0,anarki,6014
