difeomorfi,微分同胚ᴰᴵ
triĥofit,毛癣菌ᵀᴴ̂
amfibraĥ,短长短ᴬᴴ̂
neŭrologi,神经学ᴺᵁ̆
agnostikism,不可知主义
klaŭstr,修院ᴷᵁ̆
endokrinolog,内分泌学家
dodekafoni,十二声ᴰᴵ
duodenit,十二指肠炎
ĥameleon,变色龙ᴴ̂
arkaism,古主义ᴬᴷ
arkeolog,古学家ᴬᴷ
monarĥ,君主ᴹᴴ̂
paroĥ,堂区ᴾᴴ̂
treponemicid,密螺旋体杀
oligarĥ,寡头ᴼᴴ̂
urinat,尿酸盐ᵁᴺ
arĥitekt,建筑ᴬᴴ̂
gvajak,愈疮木ᴳⱽ
bazidimikot,担子菌ᴮᴷ
bazidiomicet,担子菌ᴮᴼ
bazidiomikot,担子菌ᴮᶻ
politikolog,政学家ᴾᴷ
neologismem,新话主义倾
anarĥi,无政ᴬᴴ̂
anakardi,木ᴬᴺᴬᴷ
kaskaril,木ᴷᴬˢᴷ
kalam,木ᴷᴬᴸᴬ
kameciparis,木ᴷᴬᴹᴱ
klerodendr,木ᴷᴸᴱᴿ
komifor,木ᴷᴼᴹᴵ
meteorolog,气学家ᴹᴿ
traĥe,气管ᵀᴴ̂
trakeotomi,气管切ᵀᴷ
trakeit,气管炎ᵀᴷ
eĥin,海胆ᴱᴴ̂
pirosulfit,火硫盐ᴾᴵ
alĥemi,炼金ᴬᴴ̂
hipoĥondri,疑病ᴴᴴ̂
rektumoskopi,直肠镜ᴿᴵ
neŭr,神经ᴺᵁ̆
stereofoni,立体声ˢᴵ
stereoskopi,立体镜ˢᴵ
arĥipelag,群岛ᴬᴴ̂
spekulari,草ˢᴾᴱᴷ
strelici,草ˢᵀᴿᴱ
alopekur,草ᴬᴸᴼᴾ
antoksant,草ᴬᴺᵀᴼ
arabidops,草ᴬᴿᴬᴮ
hidrokarid,草ᴴᴵᴰᴿ
kalitrik,草ᴷᴬᴸᴵ
partenocis,草ᴾᴬᴿᵀ
pulmonari,草ᴾᵁᴸᴹ
bakteriofaĝ,菌吞ᴮᴳ̂
meringel,蛋白霜ᴹᴸ
ezofagoskopi,食管镜ᴱᴵ
iktiolog,鱼学家ᴵᴷ
iĥtiosaŭr,鱼龙ᴵᴴ̂
trigon,三角ᵀᴿ
deltoid,三角洲似
sterilizator,不育化具
aŭtokrati,专制ᴬᴵ
mesoenter,中肠ᴹᴼ
mezenter,中肠ᴹᶻ
pontifik,主祭ᴾᴺ
optimism,乐主义ᴼ
bimetalism,二金主义
meten,亚甲ᴹᴺ
antropomorfism,人形主义
pingvin,企鹅ᴾᴵ
kaŭkalid,伞ᴷᵁ̆
homoteti,位似ᴴᴵ
vaĉ,值ⱽᶜ̂
hipnoz,催眠ᴴᶻ
precedent,先例ᴾᵀ
fototropism,光向主义
holomorfi,全形ᴴᴵ
panteism,全神主义
okt,八度ᴼᴷ
ankiloz,关节强直
eĥidn,兽ᴱᴴ̂
haliĥer,兽ᴴᴴ̂
endokrinologi,内分泌学
agronomi,农学ᴬᴵ
prostatit,前列腺炎
prostatektomi,前列腺除
ĥemi,化学ᴴ̂
duoden,十二指肠
sonet,十四行诗
sinergi,协同作用
monoteism,单神主义
impresionism,印象主义
ovogenez,卵源ᴼᶻ
tensiometr,压计ᵀᴼ
refleks,反射ᴿˢ
ameboid,变形虫似
stomatoskopi,口镜ˢᴵ
arĥe,古ᴬᴴ̂
arkeologi,古学ᴬᴷ
paleontolog,古学家ᴾ
epik,史诗ᴱᴷ
homotopi,同伦ᴴᴵ
homomorfi,同形ᴴᴵ
epipaleolitik,后古石学
ipekakuan,吐根ᴵᴷ
monarki,君主ᴹᴵ
monarĥi,君主ᴹᴼ
faringoskopi,咽镜ᶠᴵ
askomikot,囊菌ᴬᴷ
perikardi,围心ᴾᴵ
grundolog,土学家ᴳ
geotropism,地向主义
topolog,地学家ᵀ
geometr,地测ᴳᴱ
kadastr,地籍ᴷᴰ
metropoliten,地铁ᴹᴾ
ĥirurg,外科ᴴ̂
kirurgi,外科ᴷᴵ
politeism,多神主义
polikro,多色ᴾᴼ
maĵor,大ᴹᴶ̂
glicine,大豆ᴳᴱ
kaĵol,媚ᴷᴶ̂
benzoil,安息香基
deĉifr,密ᴰᶜ̂
treponem,密螺旋体
radiofoni,射声ᴿᴵ
urinologi,尿学ᵁᴺ
uratemi,尿酸盐血
pekan,山核桃ᴾ
ramfast,巨嘴鸟ᴿ
ĉap,帽ᶜ̂ᴬ
arkitektur,建筑ᴬᴿ
arĥitektur,建筑ᴬᵀ
alomorf,异形ᴬᴹ
difeomorf,微分同胚
mikroorganism,微器主义
mikrobreĉi,微角砾岩
psikiatri,心医ᴾᴵ
kardiolog,心学家ᴷ
psikopati,心病ᴾᴵ
kardiografi,心记ᴷᴵ
venere,性病ⱽᴱ
paskvil,批文ᴾˢ
teĥnik,技ᵀᴴ̂
antineŭtrin,抗中微子
antikorpuskl,抗粒ᴬᴷ
antiproton,抗质子子
krampf,抽筋ᴷᴾ
fototipi,拍型ᶠᴵ
metakarpe,掌骨ᴹᴱ
celsi,摄氏ᶜᴱ
bronkoskopi,支镜ᴮᴵ
politikologi,政学ᴾᴷ
astigmatism,散光主义
datum,数据ᴰᴹ
proletari,无产ᴾᴿ
anarki,无政ᴬᴵ
anarkism,无政主义
aklimatiz,无气候化
ateism,无神主义
heliotropism,日向主义
astrologi,星学ᴬᴸ
sekvoj,木ˢᴱᴷ
aŝok,木ᴬˢ̂
astrakant,木ᴬˢᵀ
aleŭrit,木ᴬᴸᴱ
anamirt,木ᴬᴺᴬ
aŭkub,木ᴬᵁ̆
amelanĉ,木ᴬᶜ̂
baŭhini,木ᴮᵁ̆
eŭgeni,木ᴱᵁ̆
gaŭlteri,木ᴳᵁ̆
ksiloste,木ᴷˢᴵ
kastane,木ᴷᴬˢ
kalitris,木ᴷᴬᴸ
kamerops,木ᴷᴬᴹ
karagan,木ᴷᴬᴿ
katalp,木ᴷᴬᵀ
kazuaren,木ᴷᴬᶻ
kenomel,木ᴷᴱᴺ
klementin,木ᴷᴸᴱ
kokolob,木ᴷᴼᴷ
kombret,木ᴷᴼᴹ
kopaifer,木ᴷᴼᴾ
krescenti,木ᴷᴿᴱ
kriptomeri,木ᴷᴿᴵ
kaŭri,木ᴷᵁ̆
kebraĉ,木ᴷᶜ̂
miroksil,木ᴹᴵᴿ
melaleŭk,木ᴹᵁ̆
palisandr,木ᴾᴬᴸ
paŭlini,木ᴾᵁ̆
ramonĉ,木ᴿᶜ̂
tibuŝen,木ᵀˢ̂
magnoliofit,木植ᴹᴼ
raŭf,架ᴿᵁ̆
ĉasi,架ᶜ̂ˢ
sekestr,查封ˢˢ
sekvestraci,查封ˢᶜ
disel,柴油ᴰˢ
dendrokronolog,树时学家
nukleogami,核配ᴺᴼ
arĥiv,档ᴬᴴ̂
meĥanik,械ᴹᴴ̂
